Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Post an idea,Chrome 106.0.0.0,,,2023-08-26 16:46:42,2023-08-26 16:48:40,1m - 57.924s,FAILED
Start listener action : enableSauceLabs,Chrome 106.0.0.0,,,2023-08-26 16:46:42,2023-08-26 16:46:42,0.003s,PASSED
"openBrowser("""")",Chrome 106.0.0.0,,,2023-08-26 16:46:42,2023-08-26 16:46:45,2.370s,PASSED
"navigateToUrl(""https://katalon-inc--sc.sandbox.my.site.com/katalonhelpcenter/s/"")",Chrome 106.0.0.0,,,2023-08-26 16:46:45,2023-08-26 16:46:47,2.799s,PASSED
"click(findTestObject(""Object Repository/button_Log in""))",Chrome 106.0.0.0,,,2023-08-26 16:46:47,2023-08-26 16:47:12,24.335s,PASSED
"click(findTestObject(""Object Repository/a_Katalon Account""))",Chrome 106.0.0.0,,,2023-08-26 16:47:12,2023-08-26 16:47:35,23.529s,PASSED
"setText(findTestObject(""Object Repository/input_Email_email""), ""user3@5wphoto.com"")",Chrome 106.0.0.0,,,2023-08-26 16:47:35,2023-08-26 16:47:40,4.656s,PASSED
"setEncryptedText(findTestObject(""Object Repository/input_Password_password""), ""SLwXyDhhPsbL49YyfNlrYA=="")",Chrome 106.0.0.0,,,2023-08-26 16:47:40,2023-08-26 16:47:41,1.533s,PASSED
"click(findTestObject(""Object Repository/button_Sign In""))",Chrome 106.0.0.0,,,2023-08-26 16:47:41,2023-08-26 16:47:45,3.507s,PASSED
delay(15),Chrome 106.0.0.0,,,2023-08-26 16:47:45,2023-08-26 16:48:00,15.014s,PASSED
"navigateToUrl(""https://katalon-inc--sc.sandbox.my.site.com/katalonhelpcenter/s/ideas"")",Chrome 106.0.0.0,,,2023-08-26 16:48:00,2023-08-26 16:48:11,11.094s,PASSED
"click(findTestObject(""Object Repository/span_Post Ideas""))",Chrome 106.0.0.0,,,2023-08-26 16:48:11,2023-08-26 16:48:19,7.516s,PASSED
"setText(findTestObject(""Object Repository/input__Title""), titlepost)",Chrome 106.0.0.0,,,2023-08-26 16:48:19,2023-08-26 16:48:23,4.750s,PASSED
"click(findTestObject(""Object Repository/button__Product""))",Chrome 106.0.0.0,,,2023-08-26 16:48:23,2023-08-26 16:48:25,1.655s,PASSED
"click(findTestObject(""Object Repository/span_Cloud Studio""))",Chrome 106.0.0.0,,,2023-08-26 16:48:25,2023-08-26 16:48:25,0.459s,PASSED
"setText(findTestObject(""Object Repository/input__TeamSize""), nomember)",Chrome 106.0.0.0,,,2023-08-26 16:48:25,2023-08-26 16:48:26,0.873s,PASSED
"setText(findTestObject(""Object Repository/textarea__Description""), description)",Chrome 106.0.0.0,,,2023-08-26 16:48:26,2023-08-26 16:48:27,1.018s,PASSED
"setText(findTestObject(""Object Repository/textarea__Question1""), description2)",Chrome 106.0.0.0,,,2023-08-26 16:48:27,2023-08-26 16:48:28,0.862s,PASSED
"setText(findTestObject(""Object Repository/textarea__Question2""), description3)",Chrome 106.0.0.0,,,2023-08-26 16:48:28,2023-08-26 16:48:29,0.880s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/button_Post Idea""))",Chrome 106.0.0.0,,,2023-08-26 16:48:29,2023-08-26 16:48:30,0.499s,PASSED
"click(findTestObject(""Object Repository/button_Post Idea""))",Chrome 106.0.0.0,,,2023-08-26 16:48:30,2023-08-26 16:48:30,0.492s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/button_Post""))",Chrome 106.0.0.0,,,2023-08-26 16:48:30,2023-08-26 16:48:30,0.377s,PASSED
"click(findTestObject(""Object Repository/button_Post""))",Chrome 106.0.0.0,,,2023-08-26 16:48:30,2023-08-26 16:48:31,0.473s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/span_Your Idea Created Successfully""), 5)",Chrome 106.0.0.0,,,2023-08-26 16:48:31,2023-08-26 16:48:33,1.907s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/span_Detail""), 5)",Chrome 106.0.0.0,,,2023-08-26 16:48:33,2023-08-26 16:48:33,0.470s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/span_Submitted""), 5)",Chrome 106.0.0.0,,,2023-08-26 16:48:33,2023-08-26 16:48:40,6.691s,FAILED
Start listener action : autoUpdateJobStatus,Chrome 106.0.0.0,,,2023-08-26 16:48:40,2023-08-26 16:48:40,0.001s,PASSED
